id,name,address,city,state,lat,lon,price_per_gallon
64487,PILOT TRAVEL CENTERS #165,"I-57 & I-70, EXIT 162",Effingham,IL,39.15053,-88.575084,3.299
72592,QUIKTRIP #7191,US-45 & I-57,Effingham,IL,39.091271,-88.583139,2.999
70091,SPEEDWAY #7503,I-70 & I-57 EXIT 159,Effingham,IL,39.126444,-88.533763,3.199
7457,TA EFFINGHAM TRAVEL CENTER,"I-57 & I-70, EXIT 160",Effingham,IL,39.154482,-88.592539,3.349
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham,IL,39.099932,-88.577949,3.349
62355,MINIT MART #600630,"I-39, EXIT 14",El Paso,IL,40.753004,-89.02121,3.599
72267,SHELL SERVICE STATION,I-90 Exit 52,Elgin,IL,42.019454,-88.237109,3.279
72986,THE PRIDE OF ELGIN,SR-31,Elgin,IL,42.06915,-88.280413,3.499
71318,LOVES TRAVEL STOP  #800,SR-83,Elk Grove Village,IL,41.99206,-87.98314,3.379
71101,FOOD N FUEL,"I-55, EXIT 244 & SR-53",Elwood,IL,41.432386,-88.058875,3.499
69057,MACH ONE FOOD SHOP #18,US-45/SR-15,Fairfield,IL,38.395513,-88.327539,3.729
60890,JACK FLASH,I-57 EXIT 135,Farina,IL,38.879821,-88.74961,3.099
69688,CASEYS #3431,US-150 & SR-54,Farmer City,IL,40.238619,-88.662705,3.339
66488,HUCKS FOOD & FUEL #54,I-74,Farmer City,IL,40.268148,-88.642262,3.269
66439,JACK FLASH,I-55,Farmersville,IL,39.43677,-89.602754,3.199
68533,MACH ONE FOOD SHOP #17,US-45/US-50,Flora,IL,38.657044,-88.511867,3.899
70432,GAS N WASH,SR-43,Frankfort,IL,41.472101,-87.823891,3.499
68797,SPEEDWAY #1412,SR-43,Frankfort,IL,41.478278,-87.789911,3.359
68701,SPEEDWAY #1421,US-45 & CR-74,Frankfort,IL,41.48414,-87.78561,3.299
69880,Speedway #6809,"I-290, EXIT 13A",Franklin Park,IL,41.89565,-87.865468,3.329
70328,Thorntons #7,US-12 & US-45,Franklin Park,IL,41.909313,-87.861845,3.329
72235,ROC ONE STOP #1,SR-34,Galatia,IL,37.828917,-88.589481,3.559
68294,BP,"I-74, EXIT 51",Galesburg,IL,40.914274,-90.40512,3.499
66537,BECKS EXPRESS MART #26,"I-80, EXIT 19",Geneseo,IL,41.436455,-90.182148,3.269
72130,GILBERTS SHELL,SR-72 & CR-59,Gilberts,IL,42.125601,-88.391351,3.279
68266,FREDS FUEL AND FOOD #2,"I-57, EXIT 283 & US-24",Gilman,IL,40.799012,-87.997762,3.049
5422,K AND H TRUCK PLAZA,"I-57, EXIT 283 & US-24",Gilman,IL,40.736207,-87.965629,3.099
69390,MINIT MART #600625,"I-57, EXIT 283 & US-24",Gilman,IL,40.796568,-87.960884,3.399
4332,PILOT TRAVEL CENTER #468,"I-57, EXIT 283 & US-24",Gilman,IL,40.755115,-87.99702,3.399
64907,FREEDOM OIL #77,"I-74, EXIT 112 & SR-117",Goodfield,IL,40.640561,-89.271291,3.659
66119,FLYING J TRAVEL PLAZA #645,"I-270 & SR-11, EXIT 6",Granite City,IL,38.717641,-90.12515,3.559
71390,SPEEDWAY #7269,I-270 EXIT 6B,Granite City,IL,38.721572,-90.128558,3.379
71392,Loves Travel Stop #834,SR 17 & SR 1,Grant Park,IL,41.221537,-87.628254,3.329
69305,ROAD RANGER #268,"I-64, EXIT 130 & SR-1",Grayville,IL,38.255403,-87.993353,3.799
69921,LOVES TRAVEL STOP #688,"I-70, EXIT 119 & SR-130",Greenup,IL,39.290437,-88.120658,3.289
4885,LOVES TRAVEL STOP #384,"I-70, EXIT 45",Greenville,IL,38.865016,-89.429418,3.689
6659,GURNEE TRUCK STOP,US-41,Gurnee,IL,42.385767,-87.980217,3.289
72232,RICKY ROCKETS FUEL,I-294 & US-12,HICKORY HILLS,IL,41.742882,-87.824046,3.899
72118,GAS N WASH,I-355 & SR-7,HOMER GLEN,IL,41.58097,-87.963305,3.599
69307,LOVES TRAVEL STOP #578,I-55 EXIT 30 & SR-140,Hamel,IL,38.86339,-89.86225,3.419
70423,LOVES TRAVEL STOP #763,I-90 & US-20,Hampshire,IL,42.087392,-88.495684,3.449
66224,ROAD RANGER #235,"I-90, EXIT 36",Hampshire,IL,42.114529,-88.497046,3.369
69723,SPEEDWAY #5036,I-90 & US-20,Hampshire,IL,42.064184,-88.539955,3.369
6374,TA ELGIN WEST TRAVEL CENTER,I-90 &  US-20,Hampshire,IL,42.075174,-88.486404,3.459
72991,THORNTONS #221345,US-20,Hanover Park,IL,41.996131,-88.15384,3.759
69143,MACH 1 #21,US-45 & SR-34,Harrisburg,IL,37.74654,-88.54233,3.689
67071,FAS MART #5154,"I-270, EXIT 3 & SR-3",Hartford,IL,38.804921,-90.092264,3.279
67784,HAVANA CONVENIENCE,US-136,Havana,IL,40.29817,-90.045656,3.799
70210,CASEYS #3889,SR-29 & CR-1350,Henry,IL,41.10877,-89.362901,3.349
60255,HUCKS FOOD & FUEL #186,US-51/CR-1450 & US-136,Heyworth,IL,40.305899,-88.961824,3.479
60846,EXPRESS LANE #50,"I-88, EXIT 10",Hillsdale,IL,41.612817,-90.211192,3.699
72348,7-ELEVEN #34718,"I-294, EXIT 25",Hinsdale,IL,41.764356,-87.919196,3.719
